               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11825,              0.4804,                   0,           0.0016667,           0.0036232,           0.0008626,          0.00025924,             0.11106,             0.74528,                   0,               7e-05,               7e-05,             0.09937
                   1,                0.12,             0.68695,                   0,              0.0025,           0.0054348,           0.0013794,          0.00044008,             0.10957,             0.73145,                   0,          0.00014997,          0.00014997,             0.09865
                   2,             0.11842,             0.56411,                   0,              0.0075,            0.016304,            0.004244,          0.00090544,             0.10785,             0.71681,                   0,           0.0002298,           0.0002298,             0.09793
                   3,             0.11874,             0.70493,                   0,                0.01,            0.021739,           0.0056318,           0.0013236,             0.10634,             0.70079,                   0,          0.00030938,          0.00030938,            0.097209
                   4,             0.11056,             0.60191,                   0,            0.018333,            0.039855,            0.011849,           0.0024724,             0.10509,             0.68817,                   0,          0.00038862,          0.00038862,            0.096489
                   5,             0.11469,             0.46945,                   0,               0.025,            0.054348,            0.015805,           0.0031636,             0.10424,             0.68703,                   0,           0.0004674,           0.0004674,            0.095767
                   6,             0.11547,             0.65662,                   0,              0.0275,            0.059783,            0.017202,           0.0038463,             0.10346,             0.68377,                   0,          0.00054562,          0.00054562,            0.095046
                   7,             0.11352,             0.55618,                   0,            0.028333,            0.061594,             0.01963,            0.004147,             0.10267,             0.68242,                   0,          0.00062317,          0.00062317,            0.094323
                   8,             0.11174,             0.53276,                   0,            0.024167,            0.052536,            0.016084,           0.0037756,             0.10204,             0.68282,                   0,          0.00069996,          0.00069996,              0.0936
                   9,             0.11325,             0.50001,                   0,            0.034167,            0.074275,            0.024734,           0.0052633,             0.10157,             0.68421,                   0,          0.00077588,          0.00077588,            0.092876
                  10,             0.11026,             0.51627,                   0,            0.025833,            0.056159,             0.01694,           0.0039029,             0.10116,             0.68876,                   0,          0.00085084,          0.00085084,            0.092151
                  11,             0.11411,             0.52234,                   0,            0.030833,            0.067029,            0.017214,           0.0037574,             0.10068,             0.69328,                   0,          0.00092473,          0.00092473,            0.091425
                  12,             0.10868,             0.64385,                   0,            0.023333,            0.050725,            0.012272,           0.0027258,             0.10021,             0.69487,                   0,          0.00099745,          0.00099745,            0.090697
                  13,             0.10803,             0.53178,                   0,              0.0325,            0.070652,            0.017794,           0.0038269,             0.09975,             0.69588,                   0,           0.0010689,           0.0010689,            0.089969
                  14,             0.10714,             0.53924,                   0,            0.036667,             0.07971,            0.020472,           0.0042049,            0.099197,             0.69638,                   0,            0.001139,            0.001139,            0.089239
                  15,             0.11599,             0.45808,                   0,            0.043404,            0.085145,            0.021899,           0.0045653,             0.09864,             0.70052,                   0,           0.0012077,           0.0012077,            0.088508
                  16,             0.11108,              0.5003,                   0,            0.049167,             0.10688,            0.027609,           0.0052617,            0.098044,             0.70411,                   0,           0.0012749,           0.0012749,            0.087775
                  17,             0.10848,             0.50481,                   0,            0.055833,             0.12138,            0.031861,           0.0064753,            0.097566,             0.70625,                   0,           0.0013404,           0.0013404,             0.08704
                  18,             0.11548,             0.47605,                   0,            0.058333,             0.12681,              0.0334,           0.0066077,            0.096899,             0.71033,                   0,           0.0014042,           0.0014042,            0.086304
                  19,             0.10942,             0.55485,                   0,            0.058333,             0.12681,            0.033527,           0.0066123,            0.096447,             0.71053,                   0,           0.0014663,           0.0014663,            0.085566
                  20,             0.10572,             0.46323,                   0,            0.063333,             0.13768,            0.036288,           0.0068477,            0.096183,             0.70961,                   0,           0.0015265,           0.0015265,            0.084826
                  21,             0.10698,             0.56113,                   0,            0.075833,             0.16486,            0.044601,           0.0082673,            0.096111,             0.69805,                   0,           0.0015847,           0.0015847,            0.084085
                  22,             0.11129,             0.50313,                   0,            0.068333,             0.14855,            0.039815,           0.0076549,            0.096698,             0.68134,                   0,            0.001641,            0.001641,            0.083341
                  23,             0.10995,             0.46772,                   0,               0.065,              0.1413,            0.037163,           0.0072971,            0.097849,             0.66427,                   0,           0.0016952,           0.0016952,            0.082595
                  24,             0.11091,             0.46655,                   0,            0.063333,             0.13768,            0.036193,           0.0076659,            0.098752,              0.6492,                   0,           0.0017473,           0.0017473,            0.081847
                  25,             0.10789,             0.62763,                   0,               0.055,             0.11957,            0.032267,           0.0075578,            0.098352,             0.64431,                   0,           0.0017972,           0.0017972,            0.081097
                  26,              0.1079,             0.51565,                   0,                0.05,              0.1087,            0.029051,           0.0060322,            0.098321,             0.63614,                   0,           0.0018448,           0.0018448,            0.080345
                  27,              0.1058,             0.53993,                   0,            0.046667,             0.10145,            0.027387,           0.0062523,            0.099522,             0.63372,                   0,           0.0018901,           0.0018901,             0.07959
